Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
6554.799999999999,6449.289999999999,105.51,0.0,0.0,0.0,0.0,0.0,0.0,791.42,626.81,1024.26,1906.28,1653.75,446.77,Novembro
7418.36,7418.36,0.0,919.22,0.0,0.0,0.0,0.0,0.0,870.24,682.62,1242.25,1479.45,1748.25,476.33,Novembro
7802.7300000000005,7802.7300000000005,0.0,855.11,0.0,0.0,0.0,0.0,0.0,796.3,637.94,1461.42,1838.02,1744.05,469.89,Novembro
7363.219999999999,7363.219999999999,0.0,627.32,0.0,0.0,0.0,0.0,0.0,946.07,825.8,1547.59,1473.92,1531.16,411.36,Novembro
7730.8,7442.31,288.49,400.52,0.0,0.0,0.0,0.0,0.0,654.85,579.06,1408.66,1825.43,2025.15,548.64,Novembro
7993.77,7939.6900000000005,54.08,564.75,0.0,0.0,0.0,0.0,0.0,993.11,641.65,1323.32,2008.6,1893.17,515.09,Novembro
7383.3099999999995,7383.3099999999995,0.0,715.93,0.0,0.0,0.0,0.0,0.0,781.92,804.76,1109.98,1893.4,1639.48,437.84,Novembro
7102.199999999999,7102.199999999999,0.0,438.77,0.0,48.15,78.34,0.0,0.0,579.33,588.46,1625.05,1889.84,1460.86,393.4,Novembro
7344.219999999999,7012.36,331.86,450.59,0.0,0.0,267.97,0.0,0.0,745.24,529.07,1115.96,1788.42,1660.95,454.16,Novembro
7453.54,7245.82,207.72,350.46,0.0,90.09,273.34,0.0,0.0,640.1,653.82,999.37,1978.43,1785.2,475.01,Novembro
6707.07,6707.07,0.0,722.06,0.0,150.07,305.07,0.0,0.0,835.62,556.76,903.14,1426.99,1428.66,378.7,Novembro
7284.34,7284.34,0.0,583.15,0.0,31.83,403.79,0.0,0.0,746.68,640.49,1145.95,1555.12,1715.9,461.43,Novembro
5822.67,5822.67,0.0,548.37,0.0,52.85,142.84,0.0,0.0,755.5,570.53,772.07,1441.75,1221.29,317.47,Novembro
7974.41,7974.41,0.0,621.81,0.0,0.0,99.72,0.0,0.0,832.73,684.83,1454.35,1866.52,1903.16,511.29,Novembro
7799.86,7799.86,0.0,650.85,0.0,0.0,0.0,0.0,0.0,904.89,822.27,1163.52,2015.29,1769.62,473.42,Novembro
8159.900000000001,8159.900000000001,0.0,764.5,0.0,0.0,0.0,0.0,0.0,784.88,768.23,1584.96,2087.43,1707.43,462.47,Novembro
8369.82,7830.33,539.49,303.8,0.0,0.0,13.46,0.0,0.0,743.78,619.44,1509.68,2267.67,1865.1,507.4,Novembro
9339.68,9339.68,0.0,1228.97,0.0,12.46,49.78,0.0,0.0,767.56,598.46,1940.33,2017.98,2141.44,582.7,Novembro
8000.97,8000.97,0.0,845.23,0.0,103.86,91.88,0.0,0.0,729.37,657.21,1412.37,1879.5,1795.27,486.28,Novembro
135.21,0.0,135.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
