Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
7159.13,6873.37,285.76,586.33,0.0,80.32,149.57,0.0,0.0,726.51,676.94,1227.33,1623.55,1421.82,381.0,Dezembro
7339.0599999999995,7214.129999999999,124.93,709.18,0.0,51.85,174.28,0.0,0.0,937.98,764.39,906.8,1544.17,1680.46,445.02,Dezembro
6819.99,6772.49,47.5,1223.45,0.0,0.0,39.89,0.0,0.0,766.02,594.27,1123.76,1384.43,1292.35,348.32,Dezembro
6456.64,6321.43,135.21,622.66,0.0,0.0,42.74,0.0,0.0,745.16,608.28,1119.62,1361.06,1434.51,387.4,Dezembro
6731.98,6543.049999999999,188.93,941.23,0.0,12.81,0.0,0.0,0.0,500.56,643.26,1054.69,1745.89,1273.6,371.01,Dezembro
6868.89,6827.63,41.26,961.25,0.0,0.0,0.0,0.0,0.0,845.31,547.41,1253.12,1420.65,1436.59,363.3,Dezembro
7482.689999999999,7436.369999999999,46.32,903.8,0.0,0.0,0.0,0.0,0.0,656.57,797.5,1329.78,1581.82,1704.15,462.75,Dezembro
7371.500000000001,7286.320000000001,85.18,747.02,0.0,0.0,0.0,0.0,0.0,841.25,659.42,1289.07,1616.0,1680.63,452.93,Dezembro
6400.360000000001,6400.360000000001,0.0,357.33,0.0,0.0,25.63,0.0,0.0,834.3,845.55,1139.98,1376.98,1443.2,377.39,Dezembro
6128.76,5930.08,198.68,188.89,0.0,0.0,0.0,0.0,0.0,1213.45,883.28,1051.19,1282.37,1038.48,272.42,Dezembro
7623.81,7444.2300000000005,179.58,398.84,0.0,0.0,0.0,0.0,0.0,1094.87,1033.09,1223.71,1524.52,1717.45,451.75,Dezembro
6721.91,6480.49,241.42,396.85,0.0,0.0,0.0,0.0,0.0,582.37,677.0,1360.32,1724.95,1394.58,344.42,Dezembro
7004.400000000001,6594.93,409.47,684.67,0.0,0.0,0.0,0.0,0.0,671.07,930.41,1280.47,1050.25,1553.25,424.81,Dezembro
5827.45,5827.45,0.0,267.7,0.0,0.0,0.0,0.0,0.0,780.37,645.21,1154.77,1495.78,1174.34,309.28,Dezembro
7576.73,7576.73,0.0,1191.35,0.0,0.0,0.0,0.0,0.0,961.57,890.77,1105.93,1493.7,1524.22,409.19,Dezembro
6570.27,6570.27,0.0,1282.87,0.0,0.0,0.0,0.0,0.0,872.82,536.39,1086.24,1313.58,1172.14,306.23,Dezembro
8578.68,8467.710000000001,110.97,883.9,0.0,0.0,0.0,0.0,0.0,0.0,772.93,1141.55,3521.82,1707.64,439.87,Dezembro
5727.000000000001,5492.9400000000005,234.06,280.37,0.0,75.1,0.0,0.0,0.0,826.42,659.79,1054.58,1092.25,1189.55,314.88,Dezembro
2475.1200000000003,2419.9900000000002,55.13,255.33,0.0,40.2,0.0,0.0,0.0,0.0,221.01,493.68,553.35,675.15,181.27,Dezembro
7023.219999999999,6857.11,166.11,705.65,0.0,0.0,200.83,0.0,0.0,699.41,839.97,1068.26,1480.04,1465.56,397.39,Dezembro
6402.340000000001,6314.190000000001,88.15,418.48,0.0,54.31,174.49,0.0,0.0,824.09,798.69,1016.59,1490.06,1215.34,322.14,Dezembro
4410.210000000001,4367.540000000001,42.67,316.62,0.0,19.79,71.23,0.0,0.0,423.27,350.51,819.13,778.22,938.97,649.8,Dezembro
119.47,0.0,119.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
